mode,scenario,month,days,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh,month_end_soc_kwh
q3,S2,9,30,1340798.658585564,1319456.425279095,26598.345522209678,443191.5979609479,1200.0000000000016
q3,S2,10,31,1348208.6495422132,1326821.048034587,51328.27281538197,267658.9069950227,1200.0000000000018
q3,S2,11,30,1481232.850097364,1469853.6624646697,58954.68608211303,136700.07775251393,1200.0000000000005
q3,S2,12,31,2043036.6000074733,2028775.657890233,137573.2602745139,56987.88691720319,6000.0
q3,S3,2,28,1358773.3106544542,1345121.218860052,32008.275141361122,176722.61607627917,1200.0000000000018
q3,S3,3,31,1310592.9615891704,1296037.104021266,45185.72419442867,246150.50673547288,1200.0000000000002
q3,S3,4,30,1165537.6065437228,1144357.7429411318,60320.54124554562,266350.48061971046,1200.0000000000014
q3,S3,5,31,1307927.336482976,1285369.6272206008,97286.29252668486,277822.97050325136,1200.0000000000005
q3,S3,6,30,1755372.803159592,1733723.774240295,148653.91344126785,140852.48088023384,1200.0
q3,S3,7,31,2062775.7554785525,2042971.8372510632,207143.68410246642,156581.79906482555,1200.0
q3,S3,8,31,1488001.06153231,1464706.2865350575,49392.677738479644,344508.82603159547,1200.0
q3,S3,9,30,1340677.74945811,1319610.945209785,26546.839777926936,443367.4432247462,1200.0000000000016
q3,S3,10,31,1348210.5416233477,1326950.2495532061,51328.272823715306,267507.9370199168,1200.0000000000018
q3,S3,11,30,1481232.9245666938,1469943.8413783715,58954.6877237797,136704.43824762708,1200.0000000000005
q3,S3,12,31,2043036.6131226756,2028779.3769149368,137573.25949662502,56987.88815574208,6000.0
q4_3,S0,2,28,1443395.6086296053,1443395.6086296053,22762.055502440468,267777.98088724405,2700.0000000000027
q4_3,S0,3,31,1321321.4143465909,1321321.4143465909,41904.95116125791,317795.59485543886,1950.0000000000027
q4_3,S0,4,30,1126459.357965196,1126459.357965196,58987.206393320135,319140.2951700432,1200.0000000000005
q4_3,S0,5,31,1244495.0031164193,1244495.0031164193,92174.5168353799,328033.3270274332,1200.0000000000018
q4_3,S0,6,30,1839276.5605003648,1839276.5605003648,141163.80682251047,217372.2193350569,1200.0
q4_3,S0,7,31,2283622.361597503,2283622.361597503,193687.46515437702,217264.68615973165,1200.0000000000036
q4_3,S0,8,31,1620952.5324558027,1620952.5324558027,43831.62715228847,424271.5257078767,1200.0000000000018
q4_3,S0,9,30,1356689.7895051932,1356689.7895051932,25315.00331711111,525763.096445802,1200.0000000000018
q4_3,S0,10,31,1329614.4293237485,1329614.4293237485,41069.83655021308,361209.7781344739,1200.0
q4_3,S0,11,30,1546584.2027465214,1546584.2027465214,59553.80303271821,173427.4650938734,6000.0
q4_3,S0,12,31,2248193.870713294,2248193.870713294,115096.0047927579,112409.08087738098,5999.999999999998
q4_3,S1,2,28,1437253.5007802926,1402402.6117834593,30816.87857353887,188495.38878957342,2700.0000000000036
q4_3,S1,3,31,1320722.1090930454,1276159.8561678804,43310.19126074267,261294.30208342115,1950.0000000000018
q4_3,S1,4,30,1141874.958871612,1099808.5074294053,58841.34192718254,280488.31174273416,1200.0000000000005
q4_3,S1,5,31,1273584.5977081978,1229371.5305865314,93280.21746061584,298091.4046641932,1200.0000000000023
q4_3,S1,6,30,1865459.8113575545,1809744.4394936094,150087.90995603558,148368.47920945572,1200.0000000000036
q4_3,S1,7,31,2338957.9856328457,2286209.535204072,207313.33586229247,161623.06277357088,1200.0
q4_3,S1,8,31,1640273.6343081705,1589473.710660112,48710.02653706028,367451.94641795114,1200.0
q4_3,S1,9,30,1364854.6074420186,1312670.914818636,26320.805747665156,469857.98551184515,1200.0000000000002
q4_3,S1,10,31,1355271.8727953448,1308390.612226151,51300.39236049442,279629.6165902141,1200.0
q4_3,S1,11,30,1561329.8604908152,1516461.8927594146,54939.62618599037,154637.14101988607,6000.0
q4_3,S1,12,31,2323352.2381503657,2278822.4630667246,134945.6494614176,65216.26405194448,5999.999999999998
q4_3,S2,2,28,1432586.2748307134,1417864.1678923438,31898.831930764798,177887.1308416066,2700.0000000000055
q4_3,S2,3,31,1308939.4981882079,1295656.4508520379,45185.30786462113,245230.20536037005,1950.0000000000018
q4_3,S2,4,30,1134661.7930410171,1114352.4238567504,60573.94518378467,265532.00486851163,1200.0000000000005
q4_3,S2,5,31,1270464.890662438,1249546.6229556382,96961.86429543432,277941.95699121465,1200.0000000000005
q4_3,S2,6,30,1856823.8773393237,1833614.0598923445,149080.19840839296,140751.86033533336,1200.0
q4_3,S2,7,31,2334687.716026992,2312041.4107176745,207272.6634380406,156764.73508343188,1200.0
q4_3,S2,8,31,1625499.5386869875,1603064.2243982984,49586.602856076155,345020.2703820076,1200.0
q4_3,S2,9,30,1346596.8914125052,1325104.3989531507,26388.90232695571,443917.2610910514,1200.0
q4_3,S2,10,31,1349359.2979899615,1327555.1642600747,51307.479328534035,267651.36218036147,1200.0
q4_3,S2,11,30,1554835.3171470892,1541625.8853441009,59151.05548481958,136507.8863109305,6000.0
q4_3,S2,12,31,2325272.827185961,2312059.0423354306,136642.83771140283,57278.377558899636,6000.000000000002
q4_3,S3,2,28,1432586.3396826936,1417909.3534501656,31898.84454465369,177887.12068049549,2700.0
q4_3,S3,3,31,1308940.0803438136,1296219.075940394,45185.30786462113,245230.20536037005,1950.0000000000025
q4_3,S3,4,30,1134523.7475473157,1114876.523748273,60536.13635679023,265532.00486851163,1200.0000000000005
q4_3,S3,5,31,1270251.5958680592,1250269.8801585182,96878.28318055376,277947.01078802533,1200.0000000000005
q4_3,S3,6,30,1856678.1661192304,1834266.7498440065,149027.22285985743,140748.37510323635,1200.0
q4_3,S3,7,31,2334766.156511237,2313295.2186173494,207235.74091872017,156674.5089460617,1200.0
q4_3,S3,8,31,1625431.337133786,1603473.8925773555,49544.70340055731,345021.30724311864,1200.0
q4_3,S3,9,30,1346416.9711087465,1325199.927325305,26337.867725908094,443791.43906305573,1200.0000000000002
q4_3,S3,10,31,1349359.9633270313,1327817.6732373468,51307.48012853403,267698.65442129085,1200.0
q4_3,S3,11,30,1554835.2979716961,1541797.9058682583,59151.05630981958,136510.47463865683,6000.0
q4_3,S3,12,31,2325272.862347317,2312066.1257878183,136642.8384806806,57278.377769238534,6000.000000000002
